연월,평균기온,최고기온,최저기온,평균상대습도,월합강수량,일최다강수량,1시간최다강수량,평균풍속,최대풍속,합계 일조시간,일조율,최심적설,최심신적설,평균지면온도,소비자물가지수,배추가격(원),ds,y,holiday
2019-05,18.347368421052632,31.569791666666664,4.927083333333333,58.23157894736842,66.08020833333333,34.534375000000004,8.244791666666666,2.088421052631579,8.622916666666667,284.4447916666667,65.94073684210527,0.0,0.0,22.503157894736844,99.652,2697,2019-05,2697,0
2019-06,21.03125,31.671875,11.686458333333334,74.97916666666667,153.16770833333334,61.41354166666667,19.736458333333335,1.6610526315789476,7.044791666666666,216.19583333333333,49.5321875,0.0,0.0,25.711458333333336,99.491,3167,2019-06,3167,0
2019-07,24.505208333333332,33.69479166666667,16.935416666666665,81.03125,235.28854166666667,91.49583333333334,25.782291666666666,1.8760416666666666,7.79375,155.34791666666666,34.954166666666666,0.0,0.0,27.472916666666666,99.187,3470,2019-07,3470,0
2019-08,25.918947368421055,35.143750000000004,17.233333333333334,79.57894736842105,143.30736842105264,57.54,23.942105263157895,1.6505263157894738,7.372916666666666,209.225,50.78,0.0,0.0,29.262105263157896,99.425,5362,2019-08,5362,0
2019-09,21.601052631578945,30.894736842105264,11.616842105263157,81.77894736842106,237.3536842105263,84.96842105263158,24.01157894736842,1.6978947368421053,11.98842105263158,138.83368421052631,37.38273684210527,0.0,0.0,23.68842105263158,99.794,6542,2019-09,6542,0
2019-10,15.709473684210527,27.257894736842104,3.946315789473684,75.28421052631579,164.44842105263157,110.9578947368421,25.971578947368425,1.7526315789473683,8.47578947368421,193.4726315789474,55.317684210526316,0.0,0.0,17.354736842105265,100.041,4589,2019-10,4589,0
2019-11,8.822105263157894,21.849473684210526,-3.013684210526316,69.37894736842105,54.23578947368421,25.993684210526318,0.1,1.7851063829787235,8.514736842105263,174.60842105263157,56.722,0.3,0.3,9.309473684210525,99.481,4594,2019-11,4594,김장철
2019-12,2.9705263157894737,15.009473684210528,-7.745263157894736,65.96842105263158,29.540000000000003,15.036842105263158,0.0,1.8810526315789473,8.289473684210526,161.7157894736842,53.57515789473685,1.7285714285714284,1.7142857142857142,2.8673684210526313,99.719,4608,2019-12,4608,김장철
2020-01,2.917894736842105,15.00842105263158,-6.61578947368421,68.48421052631579,84.56315789473685,44.519999999999996,0.0,1.9463157894736842,9.585263157894737,143.0705263157895,46.26652631578947,2.2399999999999998,2.2399999999999998,2.7526315789473683,100.09,4366,2020-01,4366,0
2020-02,3.731578947368421,17.14,-9.397894736842105,67.10526315789474,58.96526315789473,29.255789473684214,0.0,2.0389473684210526,8.91263157894737,181.6821052631579,57.68315789473684,10.888235294117647,8.011764705882353,4.6,100.16,4343,2020-02,4343,0
